,lr,sr,noise
br,0.6203111173828136,0.64845587841797,0.005
bu,0.41131021093750064,0.45168872685547057,0.005
ci,1.4765515705078138,1.502190845019532,0.005
db,0.5739642991210957,0.5740951931640649,0.005
df,0.7325657272460938,0.6733970457031245,0.005
et,0.7800752277343741,0.7878191073242174,0.005
eu,1.052766123828124,1.0415841780273427,0.005
gm,1.4324459041015638,1.5156993080078138,0.005
hf,1.2212083422851543,1.2067111846679672,0.005
iz,0.5649947088867208,0.5618196372070332,0.005
jf,1.2997367915039053,1.3226610104492176,0.005
js,0.856198765722657,0.8798895556640633,0.005
ka,0.8389705152343743,0.8609197448242185,0.005
ll,0.44973576552734246,0.4570420105468736,0.005
lr,0.6020578642578107,0.6044300556640622,0.005
ni,0.7892765541015632,0.7928941078125007,0.005
or,0.7728556506835929,0.7848933093749991,0.005
pa,0.8194663191406266,0.8112599506835942,0.005
pr,1.0656223100585942,1.0825400346679692,0.005
ra,0.5360862195312484,0.5363489758789046,0.005
rj,0.7961277974609368,0.8254929976562494,0.005
so,0.7384640547851552,0.7553238811523432,0.005
sp,1.0842853848632836,1.0878569512695337,0.005
wg,0.6270243158203147,0.6449787281250025,0.005
